id	hate_type	hate_severity	to_whom	model
342937	Profane	Severe	Organization	csebuetnlp/banglabert
178372	Profane	Severe	Individual	csebuetnlp/banglabert
916768	None	Little to None	None	csebuetnlp/banglabert
215239	Political Hate	Mild	Community	csebuetnlp/banglabert
763206	Abusive	Little to None	Individual	csebuetnlp/banglabert
666182	None	Little to None	None	csebuetnlp/banglabert
503048	Political Hate	Mild	Organization	csebuetnlp/banglabert
519953	Abusive	Mild	Individual	csebuetnlp/banglabert
679666	None	Little to None	None	csebuetnlp/banglabert
237037	None	Little to None	None	csebuetnlp/banglabert
561654	None	Little to None	None	csebuetnlp/banglabert
335959	None	Little to None	None	csebuetnlp/banglabert
672138	None	Little to None	None	csebuetnlp/banglabert
705318	None	Little to None	None	csebuetnlp/banglabert
251010	None	Little to None	None	csebuetnlp/banglabert
50757	Abusive	Little to None	None	csebuetnlp/banglabert
708711	Profane	Severe	Society	csebuetnlp/banglabert
379033	None	Little to None	None	csebuetnlp/banglabert
356889	None	Little to None	None	csebuetnlp/banglabert
380864	Abusive	Little to None	None	csebuetnlp/banglabert
357388	None	Little to None	None	csebuetnlp/banglabert
237264	None	Little to None	None	csebuetnlp/banglabert
785645	None	Little to None	None	csebuetnlp/banglabert
10221	None	Little to None	Organization	csebuetnlp/banglabert
51427	None	Little to None	None	csebuetnlp/banglabert
327009	None	Little to None	None	csebuetnlp/banglabert
72638	None	Little to None	None	csebuetnlp/banglabert
454694	Abusive	Mild	Community	csebuetnlp/banglabert
531585	None	Little to None	None	csebuetnlp/banglabert
905729	None	Little to None	None	csebuetnlp/banglabert
826344	None	Little to None	None	csebuetnlp/banglabert
622615	Political Hate	Mild	Organization	csebuetnlp/banglabert
341026	None	Little to None	Society	csebuetnlp/banglabert
756812	None	Little to None	None	csebuetnlp/banglabert
446998	None	Little to None	None	csebuetnlp/banglabert
507755	Abusive	Little to None	None	csebuetnlp/banglabert
252185	None	Little to None	None	csebuetnlp/banglabert
677872	Political Hate	Mild	Individual	csebuetnlp/banglabert
573406	None	Little to None	None	csebuetnlp/banglabert
708512	None	Little to None	None	csebuetnlp/banglabert
35865	Abusive	Mild	Organization	csebuetnlp/banglabert
521314	None	Little to None	None	csebuetnlp/banglabert
629720	None	Little to None	None	csebuetnlp/banglabert
579590	None	Little to None	None	csebuetnlp/banglabert
420676	None	Little to None	None	csebuetnlp/banglabert
888468	Profane	Mild	Individual	csebuetnlp/banglabert
507098	None	Little to None	None	csebuetnlp/banglabert
33791	None	Little to None	None	csebuetnlp/banglabert
628771	None	Little to None	Community	csebuetnlp/banglabert
197579	Political Hate	Mild	Organization	csebuetnlp/banglabert
228413	None	Little to None	None	csebuetnlp/banglabert
607208	None	Little to None	Individual	csebuetnlp/banglabert
482851	Abusive	Little to None	None	csebuetnlp/banglabert
641065	None	Little to None	None	csebuetnlp/banglabert
154089	None	Little to None	None	csebuetnlp/banglabert
21246	None	Little to None	None	csebuetnlp/banglabert
99970	None	Little to None	None	csebuetnlp/banglabert
243706	Abusive	Little to None	Organization	csebuetnlp/banglabert
366232	None	Little to None	None	csebuetnlp/banglabert
799431	Abusive	Mild	Community	csebuetnlp/banglabert
151836	Profane	Severe	Individual	csebuetnlp/banglabert
384383	None	Little to None	None	csebuetnlp/banglabert
430350	Abusive	Severe	Individual	csebuetnlp/banglabert
321512	None	Little to None	None	csebuetnlp/banglabert
791877	None	Little to None	None	csebuetnlp/banglabert
369126	None	Mild	Community	csebuetnlp/banglabert
769210	None	Little to None	None	csebuetnlp/banglabert
389866	None	Little to None	None	csebuetnlp/banglabert
124392	None	Little to None	Organization	csebuetnlp/banglabert
111565	Abusive	Mild	Community	csebuetnlp/banglabert
87928	Political Hate	Mild	Community	csebuetnlp/banglabert
507897	Abusive	Mild	Individual	csebuetnlp/banglabert
284276	None	Little to None	None	csebuetnlp/banglabert
211557	None	Little to None	None	csebuetnlp/banglabert
407528	None	Little to None	Community	csebuetnlp/banglabert
656024	None	Little to None	None	csebuetnlp/banglabert
163256	None	Little to None	None	csebuetnlp/banglabert
701482	None	Little to None	None	csebuetnlp/banglabert
28613	None	Little to None	None	csebuetnlp/banglabert
393451	None	Little to None	None	csebuetnlp/banglabert
130986	None	Little to None	None	csebuetnlp/banglabert
47847	None	Little to None	None	csebuetnlp/banglabert
474831	Religious Hate	Little to None	Individual	csebuetnlp/banglabert
262358	Abusive	Little to None	Organization	csebuetnlp/banglabert
809182	None	Little to None	None	csebuetnlp/banglabert
912597	None	Little to None	None	csebuetnlp/banglabert
491193	None	Little to None	None	csebuetnlp/banglabert
605569	None	Little to None	None	csebuetnlp/banglabert
380424	None	Little to None	None	csebuetnlp/banglabert
603456	Abusive	Severe	Individual	csebuetnlp/banglabert
107100	Political Hate	Mild	Organization	csebuetnlp/banglabert
626831	None	Little to None	None	csebuetnlp/banglabert
447213	None	Little to None	None	csebuetnlp/banglabert
697862	None	Little to None	None	csebuetnlp/banglabert
91497	None	Little to None	Organization	csebuetnlp/banglabert
652526	None	Little to None	None	csebuetnlp/banglabert
24792	None	Little to None	None	csebuetnlp/banglabert
571083	Abusive	Mild	Individual	csebuetnlp/banglabert
890268	Abusive	Mild	Individual	csebuetnlp/banglabert
5297	None	Little to None	None	csebuetnlp/banglabert
920594	Profane	Severe	Community	csebuetnlp/banglabert
172944	Political Hate	Little to None	Community	csebuetnlp/banglabert
624079	None	Little to None	None	csebuetnlp/banglabert
770329	None	Little to None	None	csebuetnlp/banglabert
692607	None	Mild	None	csebuetnlp/banglabert
3052	None	Little to None	Society	csebuetnlp/banglabert
844455	Abusive	Severe	Individual	csebuetnlp/banglabert
814896	Profane	Severe	Individual	csebuetnlp/banglabert
110591	None	Little to None	Organization	csebuetnlp/banglabert
180575	None	Little to None	None	csebuetnlp/banglabert
254322	None	Little to None	None	csebuetnlp/banglabert
574720	None	Little to None	None	csebuetnlp/banglabert
622377	None	Little to None	None	csebuetnlp/banglabert
623083	Political Hate	Mild	Organization	csebuetnlp/banglabert
668718	Abusive	Little to None	Community	csebuetnlp/banglabert
633172	None	Little to None	None	csebuetnlp/banglabert
6790	None	Little to None	None	csebuetnlp/banglabert
850984	Political Hate	Severe	Organization	csebuetnlp/banglabert
500524	Political Hate	Mild	Organization	csebuetnlp/banglabert
581344	None	Little to None	None	csebuetnlp/banglabert
654769	None	Little to None	None	csebuetnlp/banglabert
706547	None	Little to None	None	csebuetnlp/banglabert
603782	None	Little to None	None	csebuetnlp/banglabert
302171	None	Little to None	None	csebuetnlp/banglabert
744717	None	Little to None	None	csebuetnlp/banglabert
512972	None	Little to None	None	csebuetnlp/banglabert
781353	None	Little to None	None	csebuetnlp/banglabert
384814	None	Little to None	None	csebuetnlp/banglabert
15032	None	Little to None	None	csebuetnlp/banglabert
251425	Abusive	Mild	Organization	csebuetnlp/banglabert
813466	None	Little to None	None	csebuetnlp/banglabert
675844	None	Little to None	None	csebuetnlp/banglabert
2583	None	Mild	None	csebuetnlp/banglabert
659227	None	Little to None	None	csebuetnlp/banglabert
169886	None	Little to None	None	csebuetnlp/banglabert
381979	Abusive	Little to None	None	csebuetnlp/banglabert
299641	Abusive	Little to None	Individual	csebuetnlp/banglabert
704171	None	Little to None	None	csebuetnlp/banglabert
618279	Abusive	Mild	Community	csebuetnlp/banglabert
641060	None	Little to None	None	csebuetnlp/banglabert
562096	None	Little to None	None	csebuetnlp/banglabert
318122	Profane	Severe	Individual	csebuetnlp/banglabert
451639	None	Little to None	None	csebuetnlp/banglabert
653504	None	Little to None	None	csebuetnlp/banglabert
144836	Abusive	Little to None	Society	csebuetnlp/banglabert
426811	Abusive	Little to None	None	csebuetnlp/banglabert
399359	None	Little to None	None	csebuetnlp/banglabert
610564	Political Hate	Little to None	Organization	csebuetnlp/banglabert
246780	None	Little to None	None	csebuetnlp/banglabert
838887	None	Little to None	None	csebuetnlp/banglabert
144994	None	Little to None	None	csebuetnlp/banglabert
854277	None	Little to None	None	csebuetnlp/banglabert
865313	None	Little to None	None	csebuetnlp/banglabert
578428	None	Little to None	None	csebuetnlp/banglabert
187917	None	Little to None	None	csebuetnlp/banglabert
348388	Political Hate	Mild	Organization	csebuetnlp/banglabert
741123	None	Little to None	None	csebuetnlp/banglabert
634544	None	Little to None	None	csebuetnlp/banglabert
778366	None	Little to None	None	csebuetnlp/banglabert
441000	None	Little to None	None	csebuetnlp/banglabert
377994	None	Little to None	None	csebuetnlp/banglabert
362805	None	Little to None	Community	csebuetnlp/banglabert
12475	None	Little to None	None	csebuetnlp/banglabert
460383	Abusive	Mild	Community	csebuetnlp/banglabert
870913	Abusive	Little to None	Individual	csebuetnlp/banglabert
2715	None	Little to None	None	csebuetnlp/banglabert
921356	None	Little to None	None	csebuetnlp/banglabert
196647	Political Hate	Severe	Organization	csebuetnlp/banglabert
824151	None	Little to None	None	csebuetnlp/banglabert
382540	Abusive	Severe	Organization	csebuetnlp/banglabert
1087	None	Little to None	None	csebuetnlp/banglabert
380610	None	Little to None	None	csebuetnlp/banglabert
416517	None	Little to None	None	csebuetnlp/banglabert
456028	Profane	Severe	Individual	csebuetnlp/banglabert
431471	None	Little to None	Individual	csebuetnlp/banglabert
453235	Political Hate	Mild	Organization	csebuetnlp/banglabert
927587	None	Little to None	None	csebuetnlp/banglabert
422259	None	Little to None	None	csebuetnlp/banglabert
896697	None	Little to None	None	csebuetnlp/banglabert
42562	None	Little to None	None	csebuetnlp/banglabert
197313	Political Hate	Mild	Individual	csebuetnlp/banglabert
690302	Abusive	Mild	Community	csebuetnlp/banglabert
925174	None	Little to None	None	csebuetnlp/banglabert
535584	Abusive	Severe	None	csebuetnlp/banglabert
931365	Abusive	Little to None	None	csebuetnlp/banglabert
227393	Abusive	Mild	Individual	csebuetnlp/banglabert
329379	None	Little to None	None	csebuetnlp/banglabert
56445	None	Little to None	None	csebuetnlp/banglabert
546158	Political Hate	Mild	Organization	csebuetnlp/banglabert
258725	None	Little to None	None	csebuetnlp/banglabert
175825	None	Little to None	None	csebuetnlp/banglabert
937532	None	Little to None	None	csebuetnlp/banglabert
833099	None	Little to None	None	csebuetnlp/banglabert
321436	None	Little to None	None	csebuetnlp/banglabert
755018	None	Little to None	None	csebuetnlp/banglabert
798262	Political Hate	Mild	Organization	csebuetnlp/banglabert
866278	None	Little to None	None	csebuetnlp/banglabert
210321	Political Hate	Mild	Organization	csebuetnlp/banglabert
363164	None	Little to None	None	csebuetnlp/banglabert
370542	None	Little to None	None	csebuetnlp/banglabert
132703	None	Little to None	None	csebuetnlp/banglabert
601946	None	Little to None	None	csebuetnlp/banglabert
897150	None	Little to None	None	csebuetnlp/banglabert
256376	None	Little to None	None	csebuetnlp/banglabert
240015	None	Little to None	None	csebuetnlp/banglabert
259547	Abusive	Severe	Individual	csebuetnlp/banglabert
67131	None	Little to None	None	csebuetnlp/banglabert
923885	None	Little to None	Individual	csebuetnlp/banglabert
226135	None	Little to None	Individual	csebuetnlp/banglabert
662300	None	Little to None	None	csebuetnlp/banglabert
677456	Political Hate	Mild	Organization	csebuetnlp/banglabert
485008	Abusive	Mild	Community	csebuetnlp/banglabert
529942	Profane	Severe	Organization	csebuetnlp/banglabert
914346	None	Little to None	None	csebuetnlp/banglabert
298173	Abusive	Mild	Organization	csebuetnlp/banglabert
446809	None	Little to None	None	csebuetnlp/banglabert
671424	Abusive	Little to None	None	csebuetnlp/banglabert
793955	Political Hate	Mild	Society	csebuetnlp/banglabert
157776	Abusive	Mild	Organization	csebuetnlp/banglabert
283469	None	Little to None	None	csebuetnlp/banglabert
206317	None	Little to None	None	csebuetnlp/banglabert
33066	None	Little to None	None	csebuetnlp/banglabert
36214	Political Hate	Severe	Organization	csebuetnlp/banglabert
683112	None	Little to None	None	csebuetnlp/banglabert
831416	Abusive	Severe	Community	csebuetnlp/banglabert
473865	None	Little to None	None	csebuetnlp/banglabert
783655	Political Hate	Little to None	Society	csebuetnlp/banglabert
344565	None	Little to None	None	csebuetnlp/banglabert
240377	None	Little to None	None	csebuetnlp/banglabert
205517	None	Little to None	None	csebuetnlp/banglabert
624990	None	Little to None	None	csebuetnlp/banglabert
114646	Profane	Severe	Individual	csebuetnlp/banglabert
860260	Political Hate	Mild	Organization	csebuetnlp/banglabert
321233	None	Little to None	None	csebuetnlp/banglabert
287639	None	Little to None	Organization	csebuetnlp/banglabert
698525	None	Little to None	None	csebuetnlp/banglabert
640865	None	Little to None	None	csebuetnlp/banglabert
493551	None	Little to None	None	csebuetnlp/banglabert
329369	None	Little to None	None	csebuetnlp/banglabert
687000	Profane	Severe	Individual	csebuetnlp/banglabert
938515	None	Little to None	None	csebuetnlp/banglabert
71327	None	Little to None	Community	csebuetnlp/banglabert
82872	Abusive	Mild	Organization	csebuetnlp/banglabert
564549	None	Little to None	None	csebuetnlp/banglabert
93050	Abusive	Little to None	None	csebuetnlp/banglabert
684599	None	Little to None	None	csebuetnlp/banglabert
923214	None	Little to None	None	csebuetnlp/banglabert
712666	None	Little to None	None	csebuetnlp/banglabert
516447	None	Little to None	None	csebuetnlp/banglabert
789503	None	Little to None	None	csebuetnlp/banglabert
126197	Abusive	Severe	Organization	csebuetnlp/banglabert
83510	None	Little to None	None	csebuetnlp/banglabert
693378	None	Little to None	None	csebuetnlp/banglabert
766830	Abusive	Mild	Community	csebuetnlp/banglabert
917369	Abusive	Mild	Organization	csebuetnlp/banglabert
140689	Profane	Severe	Community	csebuetnlp/banglabert
828319	None	Little to None	None	csebuetnlp/banglabert
441784	Abusive	Mild	None	csebuetnlp/banglabert
584069	None	Little to None	None	csebuetnlp/banglabert
595722	None	Little to None	None	csebuetnlp/banglabert
587975	Abusive	Mild	Individual	csebuetnlp/banglabert
737847	None	Little to None	None	csebuetnlp/banglabert
355260	None	Little to None	None	csebuetnlp/banglabert
208807	None	Little to None	None	csebuetnlp/banglabert
698527	None	Little to None	None	csebuetnlp/banglabert
342704	None	Little to None	None	csebuetnlp/banglabert
281083	None	Little to None	None	csebuetnlp/banglabert
594110	Political Hate	Mild	Individual	csebuetnlp/banglabert
208175	Political Hate	Mild	Organization	csebuetnlp/banglabert
536181	None	Little to None	None	csebuetnlp/banglabert
562508	None	Little to None	None	csebuetnlp/banglabert
844368	Political Hate	Severe	Organization	csebuetnlp/banglabert
355570	Abusive	Mild	Individual	csebuetnlp/banglabert
576652	None	Little to None	None	csebuetnlp/banglabert
230254	Political Hate	Little to None	Individual	csebuetnlp/banglabert
396913	None	Little to None	None	csebuetnlp/banglabert
160607	None	Little to None	None	csebuetnlp/banglabert
775615	None	Little to None	None	csebuetnlp/banglabert
634523	Political Hate	Mild	Organization	csebuetnlp/banglabert
313291	Abusive	Mild	Individual	csebuetnlp/banglabert
631046	Abusive	Little to None	Community	csebuetnlp/banglabert
550426	Political Hate	Severe	Individual	csebuetnlp/banglabert
807498	None	Little to None	Society	csebuetnlp/banglabert
388081	None	Little to None	None	csebuetnlp/banglabert
532701	None	Little to None	None	csebuetnlp/banglabert
506934	None	Little to None	None	csebuetnlp/banglabert
322440	None	Little to None	None	csebuetnlp/banglabert
507780	None	Little to None	None	csebuetnlp/banglabert
133106	None	Little to None	Organization	csebuetnlp/banglabert
584019	Political Hate	Mild	Individual	csebuetnlp/banglabert
474793	None	Little to None	Community	csebuetnlp/banglabert
890928	None	Little to None	None	csebuetnlp/banglabert
888703	None	Little to None	None	csebuetnlp/banglabert
391227	None	Little to None	None	csebuetnlp/banglabert
511127	None	Little to None	None	csebuetnlp/banglabert
507374	Abusive	Little to None	Individual	csebuetnlp/banglabert
680347	None	Little to None	None	csebuetnlp/banglabert
63627	None	Little to None	None	csebuetnlp/banglabert
903197	None	Little to None	Individual	csebuetnlp/banglabert
938868	None	Little to None	None	csebuetnlp/banglabert
675732	None	Little to None	None	csebuetnlp/banglabert
482546	None	Little to None	None	csebuetnlp/banglabert
675440	None	Little to None	None	csebuetnlp/banglabert
115168	None	Little to None	None	csebuetnlp/banglabert
352533	Political Hate	Mild	Individual	csebuetnlp/banglabert
630861	Abusive	Severe	Individual	csebuetnlp/banglabert
768879	Abusive	Mild	Society	csebuetnlp/banglabert
882539	None	Little to None	None	csebuetnlp/banglabert
558518	None	Little to None	None	csebuetnlp/banglabert
937312	None	Little to None	None	csebuetnlp/banglabert
422059	None	Little to None	None	csebuetnlp/banglabert
416662	None	Little to None	None	csebuetnlp/banglabert
632696	Abusive	Mild	Community	csebuetnlp/banglabert
203962	None	Little to None	None	csebuetnlp/banglabert
857709	None	Little to None	None	csebuetnlp/banglabert
793617	None	Little to None	None	csebuetnlp/banglabert
486353	None	Little to None	None	csebuetnlp/banglabert
635854	None	Little to None	None	csebuetnlp/banglabert
84223	None	Little to None	None	csebuetnlp/banglabert
150930	None	Little to None	None	csebuetnlp/banglabert
156149	None	Little to None	None	csebuetnlp/banglabert
772243	Political Hate	Mild	Individual	csebuetnlp/banglabert
644418	None	Little to None	None	csebuetnlp/banglabert
723392	None	Little to None	Society	csebuetnlp/banglabert
717266	None	Little to None	None	csebuetnlp/banglabert
75367	Religious Hate	Mild	Community	csebuetnlp/banglabert
398304	None	Little to None	None	csebuetnlp/banglabert
350619	None	Little to None	None	csebuetnlp/banglabert
633361	Abusive	Little to None	Individual	csebuetnlp/banglabert
545400	None	Little to None	None	csebuetnlp/banglabert
184710	Religious Hate	Mild	None	csebuetnlp/banglabert
126450	None	Little to None	None	csebuetnlp/banglabert
157874	Abusive	Severe	Community	csebuetnlp/banglabert
268695	None	Little to None	None	csebuetnlp/banglabert
443262	Profane	Severe	Organization	csebuetnlp/banglabert
405050	Abusive	Mild	Organization	csebuetnlp/banglabert
475199	None	Little to None	None	csebuetnlp/banglabert
909906	None	Little to None	None	csebuetnlp/banglabert
619424	Profane	Severe	Individual	csebuetnlp/banglabert
338317	Political Hate	Mild	Individual	csebuetnlp/banglabert
208842	Abusive	Little to None	Community	csebuetnlp/banglabert
297713	Political Hate	Mild	Organization	csebuetnlp/banglabert
198549	Political Hate	Mild	Individual	csebuetnlp/banglabert
240451	None	Little to None	None	csebuetnlp/banglabert
432313	None	Little to None	None	csebuetnlp/banglabert
556009	Profane	Severe	Individual	csebuetnlp/banglabert
291078	None	Little to None	None	csebuetnlp/banglabert
647866	None	Little to None	None	csebuetnlp/banglabert
885374	Abusive	Little to None	Organization	csebuetnlp/banglabert
149363	None	Little to None	None	csebuetnlp/banglabert
169573	None	Little to None	None	csebuetnlp/banglabert
456507	Abusive	Mild	Community	csebuetnlp/banglabert
589233	None	Little to None	None	csebuetnlp/banglabert
112377	None	Little to None	None	csebuetnlp/banglabert
831724	Abusive	Little to None	Individual	csebuetnlp/banglabert
5407	None	Little to None	None	csebuetnlp/banglabert
15943	None	Mild	Organization	csebuetnlp/banglabert
741246	None	Little to None	None	csebuetnlp/banglabert
61405	None	Little to None	None	csebuetnlp/banglabert
915869	None	Little to None	None	csebuetnlp/banglabert
511267	None	Little to None	None	csebuetnlp/banglabert
1471	None	Little to None	None	csebuetnlp/banglabert
367605	Abusive	Mild	Community	csebuetnlp/banglabert
174842	Abusive	Little to None	None	csebuetnlp/banglabert
137391	None	Little to None	None	csebuetnlp/banglabert
840729	None	Little to None	None	csebuetnlp/banglabert
416127	Profane	Severe	Individual	csebuetnlp/banglabert
330333	Abusive	Mild	Individual	csebuetnlp/banglabert
670421	None	Little to None	None	csebuetnlp/banglabert
242499	Abusive	Little to None	Individual	csebuetnlp/banglabert
144117	None	Little to None	Individual	csebuetnlp/banglabert
639424	Abusive	Mild	Individual	csebuetnlp/banglabert
394368	Abusive	Severe	Community	csebuetnlp/banglabert
291259	Abusive	Severe	Society	csebuetnlp/banglabert
142509	None	Little to None	None	csebuetnlp/banglabert
226408	Abusive	Severe	Individual	csebuetnlp/banglabert
486351	None	Little to None	None	csebuetnlp/banglabert
865343	None	Little to None	None	csebuetnlp/banglabert
490548	None	Little to None	None	csebuetnlp/banglabert
430804	None	Little to None	None	csebuetnlp/banglabert
292631	None	Little to None	None	csebuetnlp/banglabert
399708	None	Little to None	None	csebuetnlp/banglabert
62074	None	Little to None	None	csebuetnlp/banglabert
277817	None	Little to None	None	csebuetnlp/banglabert
451449	None	Little to None	None	csebuetnlp/banglabert
937837	None	Little to None	None	csebuetnlp/banglabert
69996	Political Hate	Mild	Organization	csebuetnlp/banglabert
472779	None	Little to None	None	csebuetnlp/banglabert
593869	Political Hate	Mild	Organization	csebuetnlp/banglabert
113374	None	Little to None	None	csebuetnlp/banglabert
295098	None	Little to None	None	csebuetnlp/banglabert
688164	None	Little to None	None	csebuetnlp/banglabert
754307	Religious Hate	Mild	Community	csebuetnlp/banglabert
185344	Abusive	Mild	Individual	csebuetnlp/banglabert
206819	None	Little to None	None	csebuetnlp/banglabert
776128	Religious Hate	Mild	Community	csebuetnlp/banglabert
438265	None	Little to None	None	csebuetnlp/banglabert
586064	None	Little to None	None	csebuetnlp/banglabert
588534	None	Little to None	None	csebuetnlp/banglabert
863686	None	Little to None	None	csebuetnlp/banglabert
694501	Abusive	Mild	Community	csebuetnlp/banglabert
97900	None	Little to None	None	csebuetnlp/banglabert
166900	None	Little to None	None	csebuetnlp/banglabert
109971	None	Little to None	None	csebuetnlp/banglabert
497464	None	Little to None	Individual	csebuetnlp/banglabert
376477	None	Little to None	None	csebuetnlp/banglabert
65718	None	Little to None	None	csebuetnlp/banglabert
784043	Abusive	Mild	Organization	csebuetnlp/banglabert
702897	None	Little to None	None	csebuetnlp/banglabert
352371	None	Little to None	None	csebuetnlp/banglabert
52223	None	Little to None	None	csebuetnlp/banglabert
131128	None	Little to None	None	csebuetnlp/banglabert
13831	Abusive	Severe	Community	csebuetnlp/banglabert
148597	None	Little to None	None	csebuetnlp/banglabert
60602	Abusive	Little to None	None	csebuetnlp/banglabert
752509	Abusive	Severe	Society	csebuetnlp/banglabert
730085	None	Little to None	None	csebuetnlp/banglabert
625048	None	Little to None	None	csebuetnlp/banglabert
541629	Abusive	Little to None	Community	csebuetnlp/banglabert
895206	Abusive	Mild	Community	csebuetnlp/banglabert
725993	None	Little to None	None	csebuetnlp/banglabert
296053	None	Little to None	None	csebuetnlp/banglabert
240086	None	Little to None	None	csebuetnlp/banglabert
106374	Abusive	Mild	Organization	csebuetnlp/banglabert
2358	None	Little to None	None	csebuetnlp/banglabert
655996	None	Little to None	None	csebuetnlp/banglabert
2640	Political Hate	Severe	Organization	csebuetnlp/banglabert
583695	Abusive	Severe	Organization	csebuetnlp/banglabert
740126	Abusive	Little to None	Community	csebuetnlp/banglabert
116038	None	Little to None	Individual	csebuetnlp/banglabert
839438	Abusive	Little to None	None	csebuetnlp/banglabert
216777	None	Severe	None	csebuetnlp/banglabert
717153	None	Little to None	None	csebuetnlp/banglabert
628314	None	Severe	None	csebuetnlp/banglabert
49560	Abusive	Mild	None	csebuetnlp/banglabert
484546	None	Little to None	None	csebuetnlp/banglabert
411292	Profane	Severe	Community	csebuetnlp/banglabert
739397	None	Little to None	Individual	csebuetnlp/banglabert
33049	None	Little to None	None	csebuetnlp/banglabert
234943	None	Little to None	Individual	csebuetnlp/banglabert
85567	None	Little to None	None	csebuetnlp/banglabert
898840	None	Little to None	None	csebuetnlp/banglabert
110149	Religious Hate	Little to None	None	csebuetnlp/banglabert
928802	Profane	Severe	Individual	csebuetnlp/banglabert
65232	None	Little to None	None	csebuetnlp/banglabert
609733	Abusive	Mild	Community	csebuetnlp/banglabert
607110	None	Little to None	None	csebuetnlp/banglabert
656146	None	Little to None	None	csebuetnlp/banglabert
122819	None	Little to None	None	csebuetnlp/banglabert
924773	Abusive	Little to None	Society	csebuetnlp/banglabert
855239	None	Little to None	None	csebuetnlp/banglabert
455140	None	Little to None	None	csebuetnlp/banglabert
172685	Political Hate	Mild	Organization	csebuetnlp/banglabert
705941	None	Little to None	None	csebuetnlp/banglabert
317297	None	Little to None	None	csebuetnlp/banglabert
637876	Political Hate	Mild	Organization	csebuetnlp/banglabert
198449	None	Little to None	None	csebuetnlp/banglabert
822721	Abusive	Severe	Individual	csebuetnlp/banglabert
347419	None	Little to None	None	csebuetnlp/banglabert
503146	None	Little to None	None	csebuetnlp/banglabert
601962	Profane	Severe	Individual	csebuetnlp/banglabert
847061	Profane	Severe	Individual	csebuetnlp/banglabert
449847	None	Little to None	None	csebuetnlp/banglabert
266272	None	Little to None	None	csebuetnlp/banglabert
579593	Abusive	Little to None	Community	csebuetnlp/banglabert
696370	None	Little to None	None	csebuetnlp/banglabert
282600	None	Little to None	None	csebuetnlp/banglabert
901656	None	Little to None	None	csebuetnlp/banglabert
348015	None	Little to None	None	csebuetnlp/banglabert
436616	None	Little to None	None	csebuetnlp/banglabert
257730	Political Hate	Severe	Individual	csebuetnlp/banglabert
662170	None	Little to None	None	csebuetnlp/banglabert
385756	None	Little to None	None	csebuetnlp/banglabert
359726	None	Little to None	None	csebuetnlp/banglabert
660956	None	Little to None	None	csebuetnlp/banglabert
767839	None	Little to None	None	csebuetnlp/banglabert
