id	hate_severity	model
666182	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
503048	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
519953	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
679666	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
237037	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
561654	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
335959	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
672138	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
705318	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
251010	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
50757	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
708711	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
379033	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
356889	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
380864	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
357388	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
237264	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
785645	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
10221	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
51427	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
327009	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
72638	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
454694	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
531585	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
905729	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
826344	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
622615	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
341026	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
756812	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
446998	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
507755	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
252185	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
677872	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
573406	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
708512	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
35865	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
521314	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
629720	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
579590	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
420676	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
888468	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
507098	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
33791	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
628771	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
197579	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
228413	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
607208	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
482851	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
641065	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
154089	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
21246	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
99970	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
243706	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
366232	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
799431	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
151836	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
384383	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
430350	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
321512	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
791877	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
369126	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
769210	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
389866	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
124392	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
111565	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
87928	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
507897	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
284276	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
211557	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
407528	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
656024	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
163256	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
701482	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
28613	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
393451	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
130986	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
47847	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
474831	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
262358	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
809182	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
912597	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
491193	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
605569	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
380424	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
603456	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
107100	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
626831	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
447213	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
697862	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
91497	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
652526	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
24792	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
571083	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
890268	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
5297	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
920594	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
172944	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
624079	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
770329	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
692607	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
3052	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
844455	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
814896	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
110591	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
180575	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
254322	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
574720	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
622377	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
623083	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
668718	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
633172	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
6790	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
850984	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
500524	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
581344	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
654769	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
706547	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
603782	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
302171	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
744717	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
512972	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
781353	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
384814	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
15032	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
251425	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
813466	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
675844	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
2583	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
659227	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
169886	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
381979	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
299641	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
704171	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
618279	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
641060	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
562096	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
318122	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
451639	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
653504	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
144836	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
426811	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
399359	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
610564	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
246780	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
838887	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
144994	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
854277	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
865313	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
578428	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
187917	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
348388	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
741123	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
634544	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
778366	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
441000	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
377994	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
362805	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
12475	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
460383	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
870913	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
2715	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
921356	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
196647	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
824151	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
382540	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
1087	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
380610	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
416517	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
456028	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
431471	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
453235	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
927587	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
422259	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
896697	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
42562	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
197313	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
690302	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
925174	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
535584	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
931365	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
227393	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
329379	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
56445	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
546158	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
258725	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
175825	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
937532	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
833099	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
321436	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
755018	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
798262	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
866278	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
210321	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
363164	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
370542	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
132703	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
601946	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
897150	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
256376	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
240015	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
259547	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
67131	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
923885	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
226135	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
662300	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
677456	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
485008	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
529942	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
914346	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
298173	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
446809	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
671424	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
793955	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
157776	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
283469	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
206317	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
33066	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
36214	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
683112	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
831416	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
473865	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
783655	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
344565	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
240377	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
205517	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
624990	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
114646	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
860260	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
321233	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
287639	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
698525	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
640865	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
493551	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
329369	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
687000	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
938515	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
71327	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
82872	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
564549	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
93050	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
684599	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
923214	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
712666	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
516447	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
789503	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
126197	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
83510	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
693378	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
766830	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
917369	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
140689	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
828319	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
441784	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
584069	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
595722	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
587975	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
737847	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
355260	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
208807	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
698527	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
342704	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
281083	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
594110	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
208175	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
536181	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
562508	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
844368	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
355570	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
576652	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
230254	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
396913	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
160607	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
775615	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
634523	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
313291	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
631046	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
550426	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
807498	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
388081	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
532701	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
506934	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
322440	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
507780	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
133106	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
584019	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
474793	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
890928	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
888703	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
391227	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
511127	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
507374	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
680347	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
63627	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
903197	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
938868	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
675732	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
482546	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
675440	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
115168	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
352533	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
630861	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
768879	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
882539	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
558518	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
937312	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
422059	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
416662	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
632696	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
203962	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
857709	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
793617	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
486353	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
635854	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
84223	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
150930	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
156149	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
772243	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
644418	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
723392	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
717266	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
75367	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
398304	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
350619	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
633361	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
545400	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
184710	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
126450	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
157874	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
268695	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
443262	Severe	enhanced_cascade_cv(banglabert->enhanced_banglabert)
405050	Mild	enhanced_cascade_cv(banglabert->enhanced_banglabert)
475199	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
909906	Little to None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
