id	hate_type	hate_severity	to_whom	model
531356	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
266651	Political Hate	Little to None	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
739854	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
266764	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
73332	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
760242	Abusive	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
320758	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
609567	Abusive	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
16555	Abusive	Mild	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
404893	Abusive	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
357862	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
624326	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
364169	Profane	Severe	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
631673	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
105543	Profane	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
699006	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
701268	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
742298	Abusive	Mild	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
643737	Abusive	Severe	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
689092	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
563553	Abusive	Little to None	Society	enhanced_cascade_cv(banglabert->enhanced_banglabert)
662932	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
473263	Profane	Severe	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
422168	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
862941	Abusive	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
342937	Profane	Severe	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
178372	Abusive	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
916768	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
215239	Political Hate	Mild	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
763206	Abusive	Little to None	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
666182	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
503048	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
519953	Abusive	Mild	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
679666	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
237037	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
561654	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
335959	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
672138	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
705318	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
251010	Political Hate	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
50757	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
708711	Profane	Severe	Society	enhanced_cascade_cv(banglabert->enhanced_banglabert)
379033	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
356889	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
380864	Abusive	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
357388	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
237264	Abusive	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
785645	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
10221	None	Little to None	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
51427	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
327009	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
72638	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
454694	Abusive	Mild	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
531585	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
905729	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
826344	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
622615	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
341026	Abusive	Little to None	Society	enhanced_cascade_cv(banglabert->enhanced_banglabert)
756812	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
446998	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
507755	Abusive	Little to None	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
252185	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
677872	Political Hate	Mild	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
573406	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
708512	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
35865	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
521314	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
629720	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
579590	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
420676	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
888468	Profane	Mild	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
507098	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
33791	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
628771	Abusive	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
197579	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
228413	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
607208	None	Little to None	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
482851	Abusive	Little to None	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
641065	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
154089	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
21246	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
99970	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
243706	Political Hate	Little to None	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
366232	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
799431	Abusive	Mild	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
151836	Profane	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
384383	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
430350	Abusive	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
321512	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
791877	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
369126	Religious Hate	Mild	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
769210	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
389866	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
124392	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
111565	Abusive	Mild	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
87928	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
507897	Abusive	Mild	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
284276	Abusive	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
211557	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
407528	Abusive	Little to None	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
656024	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
163256	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
701482	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
28613	Political Hate	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
393451	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
130986	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
47847	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
474831	Religious Hate	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
262358	Abusive	Little to None	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
809182	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
912597	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
491193	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
605569	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
380424	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
603456	Abusive	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
107100	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
626831	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
447213	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
697862	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
91497	Political Hate	Little to None	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
652526	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
24792	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
571083	Abusive	Mild	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
890268	Abusive	Mild	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
5297	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
920594	Profane	Severe	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
172944	Political Hate	Little to None	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
624079	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
770329	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
692607	Abusive	Mild	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
3052	None	Little to None	Society	enhanced_cascade_cv(banglabert->enhanced_banglabert)
844455	Abusive	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
814896	Profane	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
110591	Political Hate	Little to None	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
180575	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
254322	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
574720	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
622377	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
623083	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
668718	Abusive	Little to None	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
633172	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
6790	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
850984	Political Hate	Severe	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
500524	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
581344	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
654769	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
706547	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
603782	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
302171	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
744717	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
512972	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
781353	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
384814	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
15032	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
251425	Abusive	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
813466	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
675844	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
2583	None	Mild	Society	enhanced_cascade_cv(banglabert->enhanced_banglabert)
659227	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
169886	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
381979	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
299641	Abusive	Little to None	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
704171	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
618279	Abusive	Mild	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
641060	Abusive	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
562096	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
318122	Profane	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
451639	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
653504	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
144836	Abusive	Little to None	Society	enhanced_cascade_cv(banglabert->enhanced_banglabert)
426811	Abusive	Little to None	Society	enhanced_cascade_cv(banglabert->enhanced_banglabert)
399359	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
610564	Political Hate	Little to None	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
246780	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
838887	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
144994	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
854277	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
865313	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
578428	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
187917	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
348388	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
741123	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
634544	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
778366	Abusive	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
441000	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
377994	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
362805	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
12475	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
460383	Abusive	Mild	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
870913	Abusive	Little to None	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
2715	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
921356	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
196647	Political Hate	Severe	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
824151	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
382540	Abusive	Severe	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
1087	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
380610	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
416517	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
456028	Profane	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
431471	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
453235	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
927587	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
422259	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
896697	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
42562	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
197313	Political Hate	Mild	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
690302	Abusive	Mild	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
925174	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
535584	Abusive	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
931365	Abusive	Little to None	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
227393	Abusive	Mild	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
329379	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
56445	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
546158	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
258725	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
175825	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
937532	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
833099	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
321436	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
755018	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
798262	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
866278	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
210321	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
363164	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
370542	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
132703	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
601946	Abusive	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
897150	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
256376	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
240015	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
259547	Abusive	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
67131	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
923885	Abusive	Little to None	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
226135	Abusive	Little to None	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
662300	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
677456	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
485008	Abusive	Mild	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
529942	Profane	Severe	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
914346	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
298173	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
446809	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
671424	Abusive	Little to None	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
793955	Political Hate	Mild	Society	enhanced_cascade_cv(banglabert->enhanced_banglabert)
157776	Abusive	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
283469	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
206317	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
33066	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
36214	Political Hate	Severe	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
683112	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
831416	Abusive	Severe	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
473865	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
783655	Political Hate	Little to None	Society	enhanced_cascade_cv(banglabert->enhanced_banglabert)
344565	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
240377	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
205517	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
624990	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
114646	Profane	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
860260	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
321233	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
287639	Political Hate	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
698525	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
640865	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
493551	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
329369	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
687000	Profane	Severe	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
938515	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
71327	Abusive	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
82872	Abusive	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
564549	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
93050	Abusive	Little to None	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
684599	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
923214	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
712666	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
516447	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
789503	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
126197	Abusive	Severe	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
83510	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
693378	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
766830	Abusive	Mild	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
917369	Abusive	Mild	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
140689	Profane	Severe	Community	enhanced_cascade_cv(banglabert->enhanced_banglabert)
828319	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
441784	Abusive	Mild	Society	enhanced_cascade_cv(banglabert->enhanced_banglabert)
584069	Abusive	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
595722	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
587975	Abusive	Mild	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
737847	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
355260	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
208807	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
698527	None	Little to None	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
342704	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
281083	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
594110	Political Hate	Mild	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
208175	Political Hate	Mild	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
536181	Abusive	Little to None	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
562508	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
844368	Political Hate	Severe	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
355570	Abusive	Mild	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
576652	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
230254	Political Hate	Little to None	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
396913	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
160607	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
775615	None	Little to None	None	enhanced_cascade_cv(banglabert->enhanced_banglabert)
634523	Political Hate	Mild	Organization	enhanced_cascade_cv(banglabert->enhanced_banglabert)
313291	Abusive	Mild	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
631046	Abusive	Little to None	Individual	enhanced_cascade_cv(banglabert->enhanced_banglabert)
